Category,Question,,
Programming and Data Structures,Implement a linked list in your preferred programming language.,,
Programming and Data Structures,Explain the difference between array and linked list data structures.,,
Programming and Data Structures,Write a function to reverse a string in-place.,,
Programming and Data Structures,Describe the process of binary search and its time complexity.,,
Programming and Data Structures,Implement a stack using arrays and explain its operations.,,
Programming and Data Structures,Explain the concept of recursion and provide an example.,,
Programming and Data Structures,Describe the difference between breadth-first search (BFS) and depth-first search (DFS).,,
Algorithm Design,Explain dynamic programming and provide an example problem that can be solved using it.,,
Algorithm Design,Describe the greedy algorithm approach and provide an example problem.,,
Algorithm Design,Explain the concept of time complexity and how it's calculated.,,
Algorithm Design,Discuss the importance of algorithm optimization and provide techniques for it.,,
Algorithm Design,Explain the concept of divide and conquer and provide an example problem.,,
System Design,Design a URL shortening service like bit.ly.,,
System Design,Explain the components of a distributed system and their functions.,,
System Design,Design a scalable messaging system like Twitter.,,
System Design,Discuss the database sharding technique and its benefits.,,
System Design,Design a caching system to improve the performance of a web application.,,
Database Management,Compare SQL and NoSQL databases, and when to use each.,
Database Management,Explain ACID properties in database transactions.,,
Database Management,Discuss the process of database normalization and its benefits.,,
Database Management,Describe the concept of indexing in databases and its impact on performance.,,
Database Management,Explain the CAP theorem and its implications on distributed databases.,,
Networking,Explain the TCP/IP model and its layers.,,
Networking,Describe the difference between TCP and UDP protocols.,,
Networking,Discuss the process of DNS resolution and its importance.,,
Networking,Explain the concept of NAT (Network Address Translation).,,
Networking,Discuss the OSI model and its layers.,,
Operating Systems,Explain the difference between process and thread.,,
Operating Systems,Discuss the memory management techniques used in operating systems.,,
Operating Systems,Explain the concept of virtual memory and its benefits.,,
Operating Systems,Describe the process scheduling algorithms used in operating systems.,,
Operating Systems,Discuss the difference between symmetric and asymmetric multiprocessing.,,
Programming and Data Structures,Write a function to check if a given string is a palindrome.,,
Programming and Data Structures,Explain the concept of a hash table and its applications.,,
Programming and Data Structures,Implement a queue using linked list and explain its operations.,,
Programming and Data Structures,Discuss the time complexity of various sorting algorithms.,,
Programming and Data Structures,Explain the difference between a tree and a graph data structure.,,
Algorithm Design,Explain the concept of memoization and provide an example problem.,,
Algorithm Design,Discuss the concept of big-O notation and its significance in algorithm analysis.,,
Algorithm Design,Describe the process of backtracking and provide an example problem.,,
Algorithm Design,Explain the concept of a priority queue and its applications.,,
Algorithm Design,Discuss the importance of space complexity in algorithm analysis.,,
System Design,Design a file storage system like Google Drive.,,
System Design,Explain the role of load balancers in distributed systems.,,
System Design,Design a real-time chat application like WhatsApp.,,
System Design,Discuss the role of message queues in system architecture.,,
System Design,Explain the concept of microservices and their advantages.,,
Database Management,Explain the concept of transactions in databases.,,
Database Management,Discuss the advantages and disadvantages of denormalization in databases.,,
Database Management,Describe the concept of ACID vs. BASE properties in databases.,,
Database Management,Explain the concept of database replication and its purposes.,,
Database Management,Differentiate between vertical and horizontal database scaling.,,
Networking,Explain the concept of subnetting and its role in networking.,,
Networking,Discuss the advantages and disadvantages of IPv4 and IPv6.,,
Networking,Explain the difference between a router and a switch.,,
Networking,Describe the concept of packet switching and its significance in networking.,,
Networking,Discuss the role of firewalls in network security.,,
Operating Systems,Explain the difference between multitasking and multithreading.,,
Operating Systems,Discuss the concept of deadlock in operating systems.,,
Operating Systems,Explain the purpose of an operating system kernel.,,
Operating Systems,Describe the role of device drivers in operating systems.,,
Operating Systems,Discuss the concept of virtualization and its benefits.,,
Programming and Data Structures,Implement a binary search tree and its basic operations.,,
Programming and Data Structures,Write a function to find the nth Fibonacci number.,,
Programming and Data Structures,Explain the concept of dynamic arrays and their advantages.,,
Programming and Data Structures,Discuss the importance of asymptotic analysis in algorithm design.,,
Programming and Data Structures,Implement a priority queue using a heap data structure.,,
